               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058309,            0.044021,            0.055883,             0.20845,             0.55029,             0.26317,             0.18556,            0.028908,            0.014068,            0.045572,            0.070052,           0.0033276,           0.0033276
                   1,            0.040095,            0.036994,            0.042205,             0.63333,             0.62762,             0.66843,             0.50064,            0.024003,            0.012859,            0.027436,            0.039722,           0.0063312,           0.0063312
                   2,             0.03802,            0.036204,            0.028294,               0.617,             0.65158,             0.68852,              0.5039,            0.025258,            0.013291,             0.02321,           0.0090624,           0.0090048,           0.0090048
                   3,            0.035027,             0.03587,            0.023139,             0.84441,              0.7773,             0.88563,             0.68711,            0.021148,            0.013474,           0.0096209,            0.008515,            0.008515,            0.008515
                   4,            0.033558,            0.035247,            0.020115,             0.84386,              0.8118,             0.89458,              0.7192,            0.020349,            0.013022,            0.010195,            0.008515,            0.008515,            0.008515
                   5,            0.031533,            0.034774,            0.017698,             0.82977,             0.77801,             0.88145,             0.71583,            0.019333,            0.012846,            0.015428,             0.00802,             0.00802,             0.00802
                   6,            0.029984,            0.034077,            0.016792,             0.84195,             0.82263,             0.90395,             0.74645,            0.018549,             0.01246,           0.0094262,            0.007525,            0.007525,            0.007525
                   7,            0.029039,            0.033311,            0.014681,              0.8464,             0.84121,             0.91866,             0.76506,            0.018308,             0.01182,           0.0077696,             0.00703,             0.00703,             0.00703
                   8,            0.028153,            0.032825,            0.014092,             0.89448,             0.82248,             0.92207,             0.77118,            0.017727,            0.011868,           0.0068869,            0.006535,            0.006535,            0.006535
                   9,            0.027579,            0.032021,            0.011978,             0.89617,             0.86117,              0.9407,             0.80268,            0.017663,             0.01114,           0.0061024,             0.00604,             0.00604,             0.00604
                  10,             0.02663,            0.031518,            0.011351,             0.89685,               0.857,             0.94266,             0.80689,            0.015813,            0.011209,            0.004941,            0.005545,            0.005545,            0.005545
                  11,            0.025731,            0.030514,            0.010301,             0.90746,             0.87939,             0.94992,             0.81888,            0.015746,            0.010655,           0.0038932,             0.00505,             0.00505,             0.00505
                  12,            0.025325,            0.030364,           0.0095165,             0.89606,             0.88094,              0.9521,             0.83019,            0.015484,            0.010649,           0.0035993,            0.004555,            0.004555,            0.004555
                  13,            0.024485,             0.02983,           0.0092108,             0.89695,             0.88713,             0.95063,             0.83123,            0.015016,            0.010471,           0.0042181,             0.00406,             0.00406,             0.00406
                  14,            0.023735,            0.029279,           0.0082797,              0.9159,             0.88969,             0.95781,             0.84233,            0.014834,            0.010313,           0.0039546,            0.003565,            0.003565,            0.003565
                  15,            0.023258,            0.029357,           0.0074154,             0.91222,             0.90658,             0.96217,             0.85013,            0.014295,            0.010072,           0.0029093,             0.00307,             0.00307,             0.00307
                  16,            0.023037,            0.028205,           0.0070868,             0.91471,             0.89989,             0.95904,              0.8523,             0.01381,           0.0098883,           0.0030009,            0.002575,            0.002575,            0.002575
                  17,            0.022228,            0.027594,           0.0065516,             0.92335,              0.8946,             0.96377,             0.86297,            0.013499,           0.0096789,           0.0031783,             0.00208,             0.00208,             0.00208
                  18,            0.021856,            0.027702,            0.005936,             0.93287,             0.91063,             0.96704,             0.86752,            0.013524,           0.0095626,            0.002124,            0.001585,            0.001585,            0.001585
                  19,            0.021176,             0.02667,           0.0061041,             0.93204,             0.91095,             0.96839,             0.87156,            0.013225,           0.0094604,           0.0021419,             0.00109,             0.00109,             0.00109
