epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.746,0.89757,2.27717,1.24533,0.74947,0.72186,0.80051,0.66823,0.68411,1.71906,1.11965,0.000255891,0.000255891,0.000255891
2,345.13,0.83254,1.41432,1.17859,0.74881,0.75623,0.84689,0.71616,0.7038,1.31961,1.13393,0.000486869,0.000486869,0.000486869
3,508.975,0.83563,1.22831,1.16997,0.83591,0.77091,0.86973,0.7383,0.687,1.01803,1.11758,0.00069247,0.00069247,0.00069247
4,673.036,0.8069,1.10128,1.1548,0.82093,0.79803,0.87375,0.75524,0.63867,0.94672,1.08574,0.000654804,0.000654804,0.000654804
5,837.804,0.79228,1.02142,1.14324,0.883,0.80421,0.91877,0.80418,0.60211,0.78323,1.05317,0.000616738,0.000616738,0.000616738
6,1003.09,0.7631,0.93569,1.12581,0.89383,0.84851,0.93548,0.82092,0.58361,0.66734,1.02915,0.000578672,0.000578672,0.000578672
7,1168.41,0.74802,0.88628,1.11806,0.89961,0.85346,0.93847,0.83699,0.55662,0.62874,1.01752,0.000540607,0.000540607,0.000540607
8,1333.11,0.72895,0.84037,1.10582,0.86522,0.85432,0.93608,0.83677,0.53657,0.65648,0.99841,0.000502541,0.000502541,0.000502541
9,1497.75,0.72626,0.81717,1.10412,0.89362,0.86353,0.94241,0.84307,0.54828,0.60104,1.00514,0.000464476,0.000464476,0.000464476
10,1661.42,0.71041,0.77834,1.09649,0.9066,0.88416,0.95513,0.85745,0.52751,0.54394,0.98793,0.000426411,0.000426411,0.000426411
11,1823.53,0.5713,0.62441,1.02753,0.90494,0.89061,0.95456,0.86336,0.51044,0.52687,0.97095,0.000388345,0.000388345,0.000388345
12,1980.5,0.55171,0.57099,1.01564,0.92364,0.88519,0.95647,0.86363,0.50275,0.50065,0.96419,0.00035028,0.00035028,0.00035028
13,2136.7,0.53987,0.54706,1.00821,0.92646,0.88769,0.9593,0.87431,0.48201,0.48929,0.94628,0.000312214,0.000312214,0.000312214
14,2293.36,0.52808,0.52348,0.99713,0.91883,0.90206,0.96195,0.87841,0.47296,0.46777,0.93733,0.000274148,0.000274148,0.000274148
15,2449.14,0.52268,0.50023,0.99158,0.92197,0.89286,0.95905,0.87684,0.47703,0.46089,0.94003,0.000236083,0.000236083,0.000236083
16,2605.79,0.50793,0.47496,0.9856,0.94811,0.88307,0.96219,0.8796,0.464,0.44734,0.93331,0.000198018,0.000198018,0.000198018
17,2763.87,0.49817,0.44711,0.97478,0.93163,0.9125,0.96813,0.88901,0.45642,0.41959,0.92464,0.000159952,0.000159952,0.000159952
18,2924.09,0.48648,0.42845,0.9696,0.93024,0.9114,0.96812,0.8913,0.45307,0.41556,0.92512,0.000121887,0.000121887,0.000121887
19,3088,0.4783,0.41578,0.96461,0.94021,0.91731,0.97109,0.89721,0.44605,0.39451,0.91604,8.3821e-05,8.3821e-05,8.3821e-05
20,3244.13,0.46752,0.3902,0.95714,0.93558,0.91545,0.9696,0.89489,0.4403,0.39749,0.91023,4.57555e-05,4.57555e-05,4.57555e-05
